system,split,p-pos,r-pos,f-pos,p-neg,r-neg,f-neg,p-neu,r-neu,f-neu,p-macro,r-macro,f-macro
baseline,train,0.9996275605214152,0.9988835132117603,0.9992553983618763,0.9997143673236218,0.9994288977727013,0.9995716121662145,0.9989886219974715,0.9996204933586338,0.9993044577932344,0.9994435166141695,0.999310968114365,0.9993771561071084
baseline,dev,0.5909822866344605,0.6066115702479339,0.598694942903752,0.4605678233438486,0.3882978723404255,0.4213564213564213,0.5868392664509169,0.6153846153846154,0.6007730535615683,0.5461297921430753,0.5367646859909916,0.5402748059405805
baseline,test,0.5766470971950424,0.591304347826087,0.5838837516512551,0.5006435006435006,0.40103092783505156,0.44533485975958786,0.5965136054421769,0.6385980883022303,0.616838865684766,0.5579347344269067,0.5436444546544563,0.5486858256985364
improved,train,0.9992556754745069,0.9992556754745069,0.9992556754745069,0.9997143673236218,0.9994288977727013,0.9995716121662145,0.9992410827219833,0.9993674889310563,0.9993042818291064,0.999403708506704,0.9993506873927549,0.9993771898232758
improved,dev,0.6566604127579737,0.5785123966942148,0.6151142355008786,0.6048780487804878,0.32978723404255317,0.4268502581755593,0.5998225377107365,0.7647058823529411,0.6723023371456985,0.6204536664163993,0.5576685043632365,0.5714222769407122
improved,test,0.6993755575379126,0.5244147157190635,0.599388379204893,0.5972495088408645,0.3134020618556701,0.41108857336037863,0.5850923482849604,0.8074647246244879,0.6785236182826544,0.6272391382212458,0.5484271673997405,0.563000190282642
